Ingredient,Quantity,Unit,Category,Recipe,Recipe Category,Recipe Difficulty,Calories,Carbohydrates,Proteins,Fats,Vitamins,Minerals,Dietary Preferences,Dietary Restrictions,Health Goals,Rating,Comments,Ingredient Substitutions,Serving Size,Prep Time (mins),Cook Time (mins)
Rice,65,cups,Grains,Tomato Soup,Soup,Medium,345,43,21,29,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,1,35,120
Tomato,67,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,461,7,5,17,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,38,114
Spinach,110,slices,Dairy,Rice Pilaf,Snack,Hard,351,33,24,37,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,4,11,19
Beef,143,grams,Proteins,Beef Stir-Fry,Dinner,Medium,229,23,41,14,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,2,56,89
Lettuce,142,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,317,19,38,39,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,1,34,46
Potato,58,cups,Grains,Mashed Potatoes,Side Dish,Medium,484,24,46,13,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,2,8,22
Carrot,82,pieces,Vegetables,Carrot Soup,Soup,Medium,341,48,13,25,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,3,44,10
Onion,169,slices,Vegetables,Onion Rings,Snack,Medium,229,8,23,41,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,1,50,57
Chicken,87,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,448,43,32,33,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,3,14,67
Broccoli,174,ounces,Vegetables,Broccoli Salad,Lunch,Medium,172,21,49,32,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,2,30,99
Rice,197,cups,Grains,Tomato Soup,Soup,Medium,244,10,21,27,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,3,47,112
Tomato,100,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,264,38,33,8,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,3,30,95
Spinach,199,slices,Dairy,Rice Pilaf,Snack,Hard,440,27,15,22,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,2,25,62
Beef,128,grams,Proteins,Beef Stir-Fry,Dinner,Medium,380,41,15,5,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,1,27,51
Lettuce,135,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,392,20,16,45,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,3,50,26
Potato,123,cups,Grains,Mashed Potatoes,Side Dish,Medium,444,31,20,44,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,1,13,80
Carrot,98,pieces,Vegetables,Carrot Soup,Soup,Medium,258,37,10,34,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,4,48,55
Onion,161,slices,Vegetables,Onion Rings,Snack,Medium,404,32,36,6,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,3,42,91
Chicken,194,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,279,37,27,44,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,3,29,98
Broccoli,81,ounces,Vegetables,Broccoli Salad,Lunch,Medium,408,12,34,15,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,1,34,120
Rice,50,cups,Grains,Tomato Soup,Soup,Medium,386,41,42,50,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,4,7,70
Tomato,88,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,263,8,45,8,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,1,58,88
Spinach,170,slices,Dairy,Rice Pilaf,Snack,Hard,464,10,33,27,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,1,51,66
Beef,91,grams,Proteins,Beef Stir-Fry,Dinner,Medium,132,11,31,12,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,1,9,102
Lettuce,101,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,393,38,49,40,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,27,116
Potato,60,cups,Grains,Mashed Potatoes,Side Dish,Medium,373,48,15,23,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,2,8,13
Carrot,127,pieces,Vegetables,Carrot Soup,Soup,Medium,158,27,44,28,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,4,7,51
Onion,50,slices,Vegetables,Onion Rings,Snack,Medium,224,48,27,28,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,1,41,36
Chicken,125,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,301,17,12,49,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,3,47,88
Broccoli,197,ounces,Vegetables,Broccoli Salad,Lunch,Medium,334,5,30,25,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,2,5,50
Rice,157,cups,Grains,Tomato Soup,Soup,Medium,436,30,38,42,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,3,28,72
Tomato,167,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,421,8,33,38,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,4,8,35
Spinach,149,slices,Dairy,Rice Pilaf,Snack,Hard,168,50,39,50,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,1,31,16
Beef,62,grams,Proteins,Beef Stir-Fry,Dinner,Medium,238,37,17,14,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,1,56,89
Lettuce,115,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,134,25,27,31,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,4,59,76
Potato,126,cups,Grains,Mashed Potatoes,Side Dish,Medium,187,40,23,15,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,4,21,38
Carrot,194,pieces,Vegetables,Carrot Soup,Soup,Medium,470,8,11,42,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,3,31,10
Onion,82,slices,Vegetables,Onion Rings,Snack,Medium,159,37,27,26,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,1,36,36
Chicken,113,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,309,14,25,23,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,3,38,39
Broccoli,115,ounces,Vegetables,Broccoli Salad,Lunch,Medium,327,19,18,32,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,1,21,15
Rice,146,cups,Grains,Tomato Soup,Soup,Medium,405,31,9,44,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,1,47,10
Tomato,59,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,149,33,50,15,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,3,42,54
Spinach,61,slices,Dairy,Rice Pilaf,Snack,Hard,100,45,23,7,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,4,53,39
Beef,84,grams,Proteins,Beef Stir-Fry,Dinner,Medium,307,12,12,26,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,4,60,76
Lettuce,81,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,483,10,18,43,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,1,40,34
Potato,72,cups,Grains,Mashed Potatoes,Side Dish,Medium,272,13,9,21,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,3,20,84
Carrot,78,pieces,Vegetables,Carrot Soup,Soup,Medium,302,41,17,46,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,4,29,83
Onion,68,slices,Vegetables,Onion Rings,Snack,Medium,495,46,31,10,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,3,35,70
Chicken,108,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,383,40,17,33,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,4,16,87
Broccoli,84,ounces,Vegetables,Broccoli Salad,Lunch,Medium,465,23,42,43,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,43,68
Rice,72,cups,Grains,Tomato Soup,Soup,Medium,258,40,26,12,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,2,42,109
Tomato,97,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,364,15,18,49,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,4,19,61
Spinach,171,slices,Dairy,Rice Pilaf,Snack,Hard,141,18,47,46,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,2,48,33
Beef,103,grams,Proteins,Beef Stir-Fry,Dinner,Medium,401,48,11,33,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,1,10,48
Lettuce,142,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,360,44,19,35,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,1,54,115
Potato,200,cups,Grains,Mashed Potatoes,Side Dish,Medium,106,39,11,7,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,1,42,94
Carrot,59,pieces,Vegetables,Carrot Soup,Soup,Medium,408,34,49,9,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,1,52,60
Onion,117,slices,Vegetables,Onion Rings,Snack,Medium,114,43,37,50,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,2,41,63
Chicken,136,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,277,49,33,16,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,4,17,23
Broccoli,196,ounces,Vegetables,Broccoli Salad,Lunch,Medium,246,35,11,17,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,3,31,37
Rice,135,cups,Grains,Tomato Soup,Soup,Medium,176,43,40,40,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,2,6,56
Tomato,138,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,359,40,45,22,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,1,28,56
Spinach,100,slices,Dairy,Rice Pilaf,Snack,Hard,268,34,40,21,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,4,34,99
Beef,192,grams,Proteins,Beef Stir-Fry,Dinner,Medium,474,19,47,21,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,3,10,38
Lettuce,144,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,487,22,16,14,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,2,21,106
Potato,97,cups,Grains,Mashed Potatoes,Side Dish,Medium,179,36,41,46,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,2,45,79
Carrot,121,pieces,Vegetables,Carrot Soup,Soup,Medium,409,20,48,29,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,4,53,47
Onion,115,slices,Vegetables,Onion Rings,Snack,Medium,187,37,40,29,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,3,51,94
Chicken,64,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,149,25,12,47,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,2,45,57
Broccoli,171,ounces,Vegetables,Broccoli Salad,Lunch,Medium,169,11,9,15,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,23,107
Rice,184,cups,Grains,Tomato Soup,Soup,Medium,258,43,34,36,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,1,38,36
Tomato,199,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,315,37,30,18,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,1,49,79
Spinach,102,slices,Dairy,Rice Pilaf,Snack,Hard,416,38,33,10,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,16,53
Beef,77,grams,Proteins,Beef Stir-Fry,Dinner,Medium,297,49,31,12,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,1,28,13
Lettuce,122,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,405,5,5,8,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,3,54,88
Potato,166,cups,Grains,Mashed Potatoes,Side Dish,Medium,477,12,45,47,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,3,50,99
Carrot,165,pieces,Vegetables,Carrot Soup,Soup,Medium,267,43,47,31,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,3,46,56
Onion,196,slices,Vegetables,Onion Rings,Snack,Medium,215,42,21,11,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,1,58,64
Chicken,73,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,319,17,44,37,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,4,43,117
Broccoli,110,ounces,Vegetables,Broccoli Salad,Lunch,Medium,140,38,34,44,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,2,34,117
Rice,131,cups,Grains,Tomato Soup,Soup,Medium,170,33,28,46,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,2,46,101
Tomato,51,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,260,47,40,17,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,2,27,21
Spinach,135,slices,Dairy,Rice Pilaf,Snack,Hard,194,25,9,41,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,2,52,42
Beef,92,grams,Proteins,Beef Stir-Fry,Dinner,Medium,293,43,35,23,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,2,32,116
Lettuce,200,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,294,33,48,10,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,44,72
Potato,152,cups,Grains,Mashed Potatoes,Side Dish,Medium,329,24,39,9,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,4,30,97
Carrot,152,pieces,Vegetables,Carrot Soup,Soup,Medium,129,14,9,28,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,4,9,34
Onion,105,slices,Vegetables,Onion Rings,Snack,Medium,252,22,12,19,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,1,7,49
Chicken,116,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,298,19,31,30,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,4,8,32
Broccoli,161,ounces,Vegetables,Broccoli Salad,Lunch,Medium,490,44,17,43,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,27,54
Rice,101,cups,Grains,Tomato Soup,Soup,Medium,175,13,8,10,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,3,29,22
Tomato,82,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,335,26,31,20,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,2,40,57
Spinach,93,slices,Dairy,Rice Pilaf,Snack,Hard,142,14,42,41,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,1,51,33
Beef,150,grams,Proteins,Beef Stir-Fry,Dinner,Medium,331,31,12,47,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,2,32,75
Lettuce,97,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,356,43,26,50,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,1,40,110
Potato,183,cups,Grains,Mashed Potatoes,Side Dish,Medium,471,34,46,25,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,2,45,18
Carrot,159,pieces,Vegetables,Carrot Soup,Soup,Medium,197,17,32,39,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,25,119
Onion,75,slices,Vegetables,Onion Rings,Snack,Medium,158,25,21,36,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,49,76
Chicken,144,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,277,37,20,42,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,4,29,16
Broccoli,110,ounces,Vegetables,Broccoli Salad,Lunch,Medium,321,26,41,22,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,27,52
Rice,80,cups,Grains,Tomato Soup,Soup,Medium,222,31,40,43,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,1,22,35
Tomato,150,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,457,46,8,22,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,1,41,43
Spinach,102,slices,Dairy,Rice Pilaf,Snack,Hard,471,28,40,42,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,4,21,114
Beef,154,grams,Proteins,Beef Stir-Fry,Dinner,Medium,153,25,17,17,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,1,48,24
Lettuce,92,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,185,10,11,9,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,9,84
Potato,185,cups,Grains,Mashed Potatoes,Side Dish,Medium,385,22,7,24,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,1,41,35
Carrot,140,pieces,Vegetables,Carrot Soup,Soup,Medium,101,18,33,27,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,3,16,37
Onion,166,slices,Vegetables,Onion Rings,Snack,Medium,364,49,46,48,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,4,9,16
Chicken,151,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,180,8,13,38,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,4,10,11
Broccoli,156,ounces,Vegetables,Broccoli Salad,Lunch,Medium,166,12,31,16,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,3,24,67
Rice,74,cups,Grains,Tomato Soup,Soup,Medium,193,28,7,11,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,3,35,58
Tomato,65,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,427,28,12,23,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,3,35,103
Spinach,180,slices,Dairy,Rice Pilaf,Snack,Hard,175,22,47,37,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,2,33,42
Beef,124,grams,Proteins,Beef Stir-Fry,Dinner,Medium,312,16,48,35,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,4,29,41
Lettuce,163,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,241,12,28,41,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,4,59,30
Potato,104,cups,Grains,Mashed Potatoes,Side Dish,Medium,256,7,14,5,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,1,19,34
Carrot,94,pieces,Vegetables,Carrot Soup,Soup,Medium,383,19,22,14,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,2,37,113
Onion,154,slices,Vegetables,Onion Rings,Snack,Medium,422,18,7,14,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,4,24,93
Chicken,52,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,351,35,27,6,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,4,52,56
Broccoli,55,ounces,Vegetables,Broccoli Salad,Lunch,Medium,436,41,7,15,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,4,12,81
Rice,59,cups,Grains,Tomato Soup,Soup,Medium,106,25,22,43,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,4,17,72
Tomato,82,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,303,35,24,46,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,3,35,105
Spinach,149,slices,Dairy,Rice Pilaf,Snack,Hard,456,38,23,32,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,2,59,62
Beef,147,grams,Proteins,Beef Stir-Fry,Dinner,Medium,135,25,7,40,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,4,55,16
Lettuce,170,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,393,6,17,8,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,3,47,92
Potato,140,cups,Grains,Mashed Potatoes,Side Dish,Medium,357,27,14,33,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,2,40,69
Carrot,58,pieces,Vegetables,Carrot Soup,Soup,Medium,144,32,46,32,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,4,36,112
Onion,140,slices,Vegetables,Onion Rings,Snack,Medium,359,43,38,23,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,2,11,50
Chicken,137,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,272,34,20,17,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,3,8,116
Broccoli,102,ounces,Vegetables,Broccoli Salad,Lunch,Medium,183,44,47,34,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,4,60,51
Rice,84,cups,Grains,Tomato Soup,Soup,Medium,479,42,43,19,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,2,52,63
Tomato,113,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,285,10,42,32,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,1,7,74
Spinach,51,slices,Dairy,Rice Pilaf,Snack,Hard,403,38,50,21,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,1,34,86
Beef,123,grams,Proteins,Beef Stir-Fry,Dinner,Medium,467,37,37,9,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,2,32,62
Lettuce,167,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,402,38,9,38,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,4,19,19
Potato,85,cups,Grains,Mashed Potatoes,Side Dish,Medium,480,31,20,49,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,1,53,95
Carrot,122,pieces,Vegetables,Carrot Soup,Soup,Medium,421,19,31,11,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,33,73
Onion,151,slices,Vegetables,Onion Rings,Snack,Medium,437,49,44,48,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,1,21,50
Chicken,121,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,440,35,13,48,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,3,49,56
Broccoli,176,ounces,Vegetables,Broccoli Salad,Lunch,Medium,474,5,41,17,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,1,44,103
Rice,170,cups,Grains,Tomato Soup,Soup,Medium,294,50,18,28,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,1,34,84
Tomato,163,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,231,30,26,38,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,4,44,105
Spinach,145,slices,Dairy,Rice Pilaf,Snack,Hard,313,14,43,31,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,4,12,19
Beef,133,grams,Proteins,Beef Stir-Fry,Dinner,Medium,407,48,38,25,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,3,21,25
